19.271143,-99.163822,4
19.265273,-99.165408,4
19.257986,-99.161824,3
19.246273,-99.152595,3
19.240232,-99.147556,3
19.231159,-99.143333,4
19.226072,-99.136309,1
19.214018,-99.133573,5
19.198849,-99.146408,5
19.185396,-99.156619,3
19.166428,-99.150613,5
19.144751,-99.162345,5
19.12106,-99.180194,5
19.101175,-99.200372,5
19.084277,-99.225432,6
19.065974,-99.237923,4
19.04805,-99.238572,3
19.033,-99.224957,3
19.031256,-99.202457,3
19.028121,-99.180395,2
19.021356,-99.159553,2
19.021299,-99.140248,2
19.014562,-99.153315,6
19.006497,-99.179753,6
18.991708,-99.202268,5
18.98213,-99.227249,6
18.973658,-99.23927,5
18.962698,-99.232957,3
18.959782,-99.213504,2
18.953563,-99.193553,2
18.942414,-99.190207,4
18.940353,-99.189968,4
18.939555,-99.190116,4
18.938607,-99.190711,1
18.938205,-99.191225,5
18.936814,-99.19406,6
18.933432,-99.19306,6
18.930924,-99.194141,4
18.926009,-99.193449,4
18.924053,-99.196502,6
